"aaln","name","house","birthdate","balance"
"379980",Jaime Wallace,Slyth,1971-12-20,7634.0
"472383",Nicolas Hunt,Green,1986-02-03,34806.0
"327777",Tanya Harrell,Hufflepuff,1998-07-21,1018.0
"411548",Felipe Walters,H,2012-11-23,31746.0
"926074",Jamarcus Fitzgerald,HU,1990-07-07,6710.0
"034791",Danielle Robertson,HUFFLE,2010-04-20,10380.0
"7814",Alma Olsen,Badgers,2006-01-01,22649.0
"353599",Elliott Carpenter,OThers,2011-06-25,31596.0
"950557",Izaiah Campos,HUFFLE,1964-03-27,4920.0
"961451",Darius Parsons,"",1972-09-28,10026.0
"802865",Adelaide Barajas,N/A,1984-08-15,20275.0
"115035",Tessa Durham,RAVENCLAW,1982-09-28,46170.0
"276727",Ronan Barton,.,2004-01-01,25653.0
"460353",Roy Aguirre,Green,1978-06-21,22755.0
"400988",Kali Stephens,HUFFLEPUFF,2011-12-27,38097.0
"333980",Jordin Burke,"",2010-03-31,38896.0
"368032",Nathaniel Richmond,Gryffindor,1993-11-27,45451.0
"152439",Raven Wiggins,HU,1959-04-12,28067.0
"595340",Mathew Cisneros,Slyth,1978-05-04,6262.0
"600616",Devyn Stout,H,1977-10-02,7421.0
"175219",Jacob Gates,HUflepluff,1968-07-07,45387.0
"939647",Isaac Gates,Hufflepuff,1977-02-10,7387.0
"31934",Jensen Christian,N/A,1996-09-27,34720.0
"630788",Jalen Bass,Durmstrang,1987-09-16,48781.0
"021381",Elvis Norton,Beauxbatons,2011-03-13,8863.0
"919408",Zion Barnett,RA,1978-05-03,38518.0
"227271",Emily Bradshaw,Durmstrang,1984-12-28,7176.0
"37903",Atticus Baker,N/A,1981-09-17,14901.0
"487556",Holden Kane,Ilvermorny,1962-08-27,11853.0
"117963",Markus Mathews,OThers,1994-08-28,42265.0
"541254",Cullen Boyer,GR,1973-10-29,32319.0
"18599",Marco Daniels,Durmstrang,2010-04-17,38795.0
"56430",Theodore Smith,gryf,1971-01-28,38182.0
"622117",Braedon Whitney,raven,1981-08-04,48852.0
"351578",Xavier Mueller,Beauxbatons,2009-08-12,15719.0
"185038",Gerald Guzman,RA,2009-01-16,2608.0
"84100",Jaylyn Charles,Slyth,1976-12-02,33802.0
"739229",Chance English,Ilvermorny,1985-12-24,1399.0
"023759",Braylon Zamora,RAVENCLAW,1998-11-07,42467.0
"020299",Aiden Berry,Mahoutokoro,1956-05-09,16276.0
"477577",Ashleigh Mitchell,Eagles,1983-07-06,48280.0
"221404",John Gonzalez,Ilvermorny,1959-04-17,24500.0
"146635",Yosef Lee,SL,1985-07-13,435.0
"813002",Mckinley Henson,Mahoutokoro,1960-02-03,35216.0
"491907",Rhett Christensen,Ravenclaw,1969-01-14,30728.0
"465915",Whitney Mcneil,House,1966-03-23,21966.0
"210906",Edward Ponce,G,1976-04-24,30663.0
"624448",Diana Flynn,OTHER,2005-07-09,31433.0
"313572",Jaslyn Lambert,Durmstrang,1964-02-22,41948.0
"790654",Gilberto Cochran,ravenclaw,2003-01-07,29248.0
"833552",Chris Winters,gryfindor,1976-12-22,22813.0
"94594",Allyson Villarreal,HU,1991-09-26,36781.0
"529818",Maddison Cervantes,H,1979-11-05,23648.0
"603043",Xavier Mcconnell,Slytherin,2010-04-16,44299.0
"747548",Landyn Horn,gryf,1996-07-17,23303.0
"444575",Yurem Davis,Green,1959-04-29,35914.0
"688092",Anabel Cole,gryfindor,1988-12-28,18313.0
"439271",Jaron Gates,Hufflepuff,1979-06-08,21142.0
"275365",Margaret Fuentes,HUFFLEPUFF,1960-08-06,32882.0
"345177",Madden Boyer,RAVENCLAW,1959-04-14,48662.0
"953622",Brayden Lynn,Beauxbatons,1972-07-17,33749.0
"973079",Annabelle Freeman,ravenclaw,1998-01-18,16879.0
"282994",Julius Reed,Slyth,1968-09-20,4378.0
"405059",Amelie Ruiz,Hufflepuff,1990-11-04,2905.0
"906138",Rylan Leach,HUFFLE,1958-05-14,43151.0
"400407",Soren English,RA,1984-10-10,31945.0
"506300",Ignacio Hutchinson,RAVENCLAW,1958-01-26,17165.0
"174238",Janet Peterson,HU,1994-09-16,21217.0
"187573",Ryan Brady,Beauxbatons,1959-01-12,22616.0
"871053",Christine Lang,raven,1965-08-21,38075.0
"476088",Shane Pugh,GR,1986-04-01,11921.0
"726828",Nadia Roberson,"",1970-05-08,9129.0
"580744",Ryder Avila,Green,1988-09-05,25944.0
"336848",Mireya Wise,HUFFLEPUFF,2003-07-15,19717.0
"319622",Jordin Ray,Hufflepuff,2009-08-18,14135.0
"494067",Annabella Webb,HU,1966-10-25,42961.0
"712770",Lexi Schaefer,HUFFLEPUFF,2006-06-29,43831.0
"554634",Gerardo Browning,gryffindor,1990-06-16,21259.0
"277988",Omar Villarreal,Yellow,1988-10-29,6540.0
"176759",Lara Villarreal,SL,2008-02-06,38174.0
"674045",Rudy Herring,Beauxbatons,1986-04-05,41012.0
"253955",Selina Patel,Ravenclaw,1977-08-11,34316.0
"385691",Gauge Mejia,HU,1975-03-29,21564.0
"940402",Natalya Maxwell,Gr,1990-03-02,5620.0
"605766",Abbey Reeves,HUFFLEPUFF,1997-03-19,2978.0
"667979",Maleah Michael,Hufflepuff,2006-08-12,44850.0
"980209",Julissa Davies,SLYTHERIN,1998-05-15,35128.0
"362924",Jerome Meyers,ravenclaw,1965-12-03,26013.0
"124600",Aaden Hahn,SLYTHERIN,1968-11-03,21207.0
"539011",Cristal Soto,GR,2008-11-01,9020.0
"050115",Randy Drake,SL,2013-06-22,21409.0
"993998",Bennett Huffman,Castelobruxo,1999-01-10,14799.0
"489155",Keith Bray,Huffle,1990-12-08,27652.0
"938894",Keely Nolan,Snape,1967-01-15,33912.0
"584789",Darius Orr,HUFFLEPUFF,1983-12-13,11743.0
"538692",Taryn Campbell,RAVENCLAW,2009-02-24,21127.0
"498997",Kirsten Walls,Beauxbatons,1987-04-17,7927.0
"464564",Gabriel Stokes,RA,1957-01-02,34895.0
"805765",Todd Barton,Hufflepuff,2004-11-28,48700.0
"20117",Madden Garcia,SLYTHERIN,1996-02-05,1501.0
"052505",Mollie Morales,G,1983-01-07,10381.0
"142115",Shiloh Hamilton,Ravenclaw,1962-06-16,3573.0
"964002",Sullivan Marks,GRYFFINDOR,1969-04-09,35090.0
"663565",Jamie Valencia,Mahoutokoro,2000-01-12,4435.0
"655747",Savanna Frank,Gryffindor,2010-02-23,21373.0
"066472",Bryson Copeland,RA,1964-02-18,1773.0
"356993",Sarah Chaney,ravenclaw,2008-05-04,7907.0
"027219",Cassandra Guerra,HUFFLEPUFF,1973-03-21,30836.0
"990574",Lilly Lucero,Pukwudgie(Ilvermorny),1995-02-03,45217.0
"694657",Angelina Herman,ravenclaw,2013-11-20,26800.0
"029796",Clay Flores,SLYTHERIN,1994-06-18,29525.0
"515147",Rodrigo Gomez,HU,1974-10-09,4114.0
"457073",Ayaan Keith,raven,1977-01-08,18998.0
"138282",Ainsley Ponce,SLYTHERIN,1987-01-09,38994.0
"335043",Natalie Bowers,"",2005-10-22,32744.0
"848923",Celia Shelton,"",2008-05-11,36587.0
"246673",Maryjane Best,"",1979-01-04,19693.0
"137354",Nylah Steele,HU,1997-04-19,20561.0
"569473",Caitlin Bruce,SL,2000-08-18,48537.0
"294018",Andres Smith,raven,1974-09-29,3897.0
"465493",Mallory Morrison,HUFFLEPUFF,1959-11-09,34060.0
"671627",Athena Le,McGonagall,2003-02-26,41671.0
"502930",Athena Oneal,"",1996-01-31,29212.0
"915400",Ricky Aguilar,GR,2002-12-23,39287.0
"294266",Lorelai Mcgrath,Slytherin,1982-01-07,47630.0
"216821",Lorena Krueger,Slyth,1996-10-06,22830.0
"327138",Elsa Estes,GRYFFINDOR,1976-10-18,19937.0
"037492",Carissa Bridges,Blue,2006-11-10,2681.0
"650470",Jenny Stone,"",1977-08-12,38355.0
"091137",Jaslyn Mcgrath,"",1991-02-27,39020.0
"952821",Madison Acosta,"",1990-01-03,17019.0
"320024",Alexandra Strickland,N/A,1983-01-15,14090.0
"722692",Gabrielle Martinez,Mahoutokoro,1992-07-30,2289.0
"17156",Alvaro French,SLYTHERIN,1967-06-23,15977.0
"8358",Ryan York,.,1991-05-12,36650.0
"807137",Eli Fleming,Beauxbatons,2011-11-12,19031.0
"885620",Yuliana Austin,gryfindor,1973-07-06,20854.0
"088745",Kate Rowe,Huffle,1995-11-12,31255.0
"388137",Olivia Nash,Lions,2010-03-22,10920.0
"440821",Karina Sheppard,Ravenclaw,2006-07-03,7452.0
"449315",Vaughn Riggs,ravenclaw,1996-09-23,5209.0
"709372",Lucian Cain,HU,1980-01-23,28463.0
"075193",Ahmed Rice,Gr,2006-03-17,32358.0
"636988",Dayton Beasley,Beauxbatons,1972-10-20,30432.0
"500039",Trevon Rowe,RAVENCLAW,1996-04-13,40378.0
"411835",Madeleine Graham,Gryffindor,2011-08-27,22274.0
"327469",Milo Dyer,Slyth,1994-07-20,46453.0
"050079",Spencer White,Red,1971-05-29,14565.0
"107873",Jenny Fields,ravenclaw,1989-08-20,43903.0
"747041",Raina Hebert,Koldovstoretz,1988-07-13,10429.0
"092751",Rayne Myers,Ilvermorny,2009-11-10,26553.0
"778711",Cassandra Bryant,RAVENCLAW,1975-04-05,26650.0
"333999",Mylee Liu,RA,1969-10-08,241.0
"916289",Jamya Davies,SLYTHERIN,1973-05-31,25649.0
"116030",Harold Hall,OThers,1979-03-06,21739.0
"961613",Sariah Deleon,HUFFLE,2008-06-25,3238.0
"362975",Darius Harris,GR,1981-10-12,48876.0
"220448",Norah Moses,HUFFLEPUFF,1985-09-04,45741.0
"321081",Amelia Hartman,Gryffindor,1995-01-01,40620.0
"254531",Ezequiel Gentry,Huffle,1980-05-27,49463.0
"3798",Lillian Erickson,Durmstrang,2010-09-08,28512.0
"264004",Bryson Gutierrez,HUFFLE,1996-06-07,6351.0
"768220",Maggie Mckinney,"",1986-10-20,9856.0
"499567",Phillip Sanders,"",1980-07-16,36707.0
"477599",Donte Hardy,Badgers,1994-08-18,29948.0
"523481",Lucia Santana,Hufflepuff,2008-07-11,188.0
"691532",Jovany Bailey,"",2007-10-22,22687.0
"407948",Kali Baker,"",1977-04-03,42392.0
"883166",Annika Knapp,Snape,2007-12-01,10121.0
"533399",Britney Rich,SLYTHERIN,2002-12-18,21972.0
"619200",Ethen Davenport,G,2000-07-17,25016.0
"130590",Leslie Sherman,ravenclaw,1961-05-13,49117.0
"944937",Marques Edwards,HU,1981-11-14,37284.0
"350719",Aliya Jackson,Gryffindor,2006-10-01,19435.0
"086307",Delaney Nielsen,Ravenclaw,1972-06-01,7264.0
"71615",Noe Goodman,Slytherin,1959-11-04,4815.0
"015250",Ernest Olsen,Durmstrang,1978-06-23,38293.0
"533367",Annalise Peterson,Eagles,2003-04-10,8072.0
"092171",Kiley Norton,Badgers,1987-03-24,5717.0
"091966",Braiden Lowery,Gryffindor,1959-10-08,40545.0
"403346",Jack Huber,HUFFLEPUFF,1966-01-05,31254.0
"091720",Isaac Maldonado,Beauxbatons,1968-05-26,47071.0
"982053",Orion Hester,HUflepluff,2014-05-08,45680.0
"607841",Kristen Estes,gryfindor,1962-11-05,5914.0
"694316",Blaze Hoffman,Castelobruxo,1976-01-21,35734.0
"042425",Zavier Carpenter,SL,1976-12-29,14787.0
"6797",Lilian Blevins,Hufflepuff,1992-06-26,43858.0
"92000",Yareli Rhodes,HU,2000-03-12,5041.0
"295305",Rafael Perkins,H,1976-02-17,14753.0
"719062",Darion Kennedy,Gr,1969-06-07,18267.0
"238720",Zaria Osborn,Durmstrang,1993-05-20,29029.0
"525282",Norah Ramsey,Beauxbatons,1974-04-14,10122.0
"763422",Alex Lyons,Ravenclaw,1979-03-29,15665.0
"764256",Tyrese Moody,Hufflepuff,1976-04-07,19124.0
"74442",Genesis Williamson,Beauxbatons,1967-07-08,29696.0
"833674",Niko Gould,HUFFLE,1981-09-21,23662.0
"231655",Augustus Blackburn,Slytherin,2011-11-13,21432.0
"606968",Daphne Frazier,HUFFLE,1963-06-18,29985.0
"228795",Andres Page,HU,2012-02-05,13919.0
"892969",Dexter Zhang,Snape,1990-02-27,39399.0
"27712",Lilyana Holder,Blue,1998-03-23,21747.0
"414151",Jerimiah Leach,.,2005-08-11,25638.0
"322551",Kendrick Arellano,HUFFLE,1960-03-01,4161.0
"334610",Annie Fowler,"",1972-01-12,6021.0
"417670",Branden Huynh,R,1990-07-02,34331.0
"412128",Jennifer Rios,Hufflepuff,2011-04-27,40043.0
"253775",Karina Dunlap,Beauxbatons,2008-02-19,5198.0
"465923",Nathaly Murillo,raven,1961-03-20,44069.0
"217410",Luna Steele,Durmstrang,1970-10-09,14110.0
"251776",Eden Velez,Beauxbatons,1970-04-14,41404.0
"543699",Barbara Rich,GR,1966-07-25,17813.0
"519736",Joanna Valdez,HU,1997-11-05,4639.0
"702275",Emanuel Coffey,Huffle,1956-07-06,11338.0
"422825",Dax Coleman,"",2009-02-25,13018.0
"028895",Alexandra Levine,HUFFLEPUFF,1969-07-16,25697.0
"61277",Reginald Roberts,SLYTHERIN,2012-04-01,35030.0
"183850",Dalton Potts,SLYTHERIN,1997-11-12,49768.0
"26609",Moriah Wu,Gryffindor,1984-03-19,46807.0
"326826",Noemi Weiss,Ravenclaw,1955-08-10,42463.0
"379460",Paula Singh,N/A,1961-06-05,12123.0
"608271",Lucian Rivers,HUFFLEPUFF,1987-11-15,31463.0
"109086",Abbie Horton,Green,1975-06-27,24540.0
"398902",Adalynn Silva,Slytherin,1983-10-23,18983.0
"311964",Chad Knox,HU,1981-09-13,3985.0
"611717",Shyann Mason,RAVENCLAW,1992-10-24,37855.0
"447549",Kolton Goodwin,Lions,1969-04-30,11740.0
"468727",Kelton Mcclure,RAVENCLAW,1966-09-16,30004.0
"218163",James Rosales,Slytherin,1995-04-11,41942.0
"799627",Kamari Rodgers,RAVENCLAW,1987-11-21,44577.0
"045447",Kellen Ritter,Gr,1988-06-18,48314.0
"770662",Kyla Mann,Slytherin,1980-02-05,16158.0
"638077",Quinten Maldonado,Durmstrang,1976-11-14,22635.0
"758319",Charlotte Calhoun,Green,1997-03-07,5685.0
"462615",Kelsie Liu,"",1959-11-22,36714.0
"296141",Meghan Rodriguez,Ravenclaw,2006-11-24,24159.0
"738912",Frankie Norton,GRYFFINDOR,1964-06-02,47742.0
"584967",Gaige Woods,Huffle,2008-03-25,21196.0
"745620",Melissa Wheeler,Gryffindor,2005-03-13,7707.0
"269889",Jase Floyd,RAVENCLAW,1966-07-18,12143.0
"198377",Nicole Butler,HUFFLEPUFF,1957-03-27,44628.0
"494643",Trevor Vincent,HUFFLEPUFF,1994-09-06,47011.0
"933828",Kinsley Manning,SL,1996-04-08,5240.0
"850248",Tyson Roberson,Hufflepuff,1990-04-17,10245.0
"672456",Teagan Boyer,RA,1959-09-03,43785.0
"139085",Myla Mack,griffindor,1976-11-01,1660.0
"536907",Iris Anderson,Durmstrang,1997-03-28,4960.0
"670778",Kristopher Peterson,HUflepluff,2000-07-13,42608.0
"002862",Alessandra Hester,HUFFLEPUFF,1989-09-08,28035.0
"919307",Sanai Odom,GRYFFINDOR,2007-02-01,43997.0
"418424",Mariah Palmer,Mahoutokoro,1970-12-20,9594.0
"910284",Frederick Villegas,HUflepluff,1976-08-16,42223.0
"959053",Nolan Anthony,Gryffindor,1978-01-25,47520.0
"375299",Bennett Rice,Ravenclaw,1998-03-22,23658.0
"86793",Fernanda Carter,Beauxbatons,1986-08-25,27562.0
"388149",Cassie Larson,G,1992-03-20,45046.0
"230994",Carlee Avery,RAVENCLAW,1985-03-02,31831.0
"678981",Tristin Pope,Beauxbatons,1974-08-04,23670.0
"959270",Matthias Hardy,HU,1971-09-19,49559.0
"317710",Jasper Vargas,SL,2009-05-01,2058.0
"011280",Jan Hall,N/A,1976-07-08,35504.0
"196158",Jimena Burnett,GR,1991-05-04,40920.0
"06956",Shirley Irwin,SL,1969-03-20,24390.0
"680227",Tiara Miranda,Pukwudgie(Ilvermorny),1959-03-11,23737.0
"383495",Jasmine Moses,raven,2008-02-06,48344.0
"957099",Sanai Church,Horned Serpent(Ilvermorny),1976-12-01,15096.0
"122358",Kareem Hanna,Slytherin,2009-10-08,21842.0
"17012",Khalil Atkins,GR,1977-06-03,13200.0
"438703",Jadiel Whitney,HUFFLE,2001-07-02,35836.0
"862325",Talon Nguyen,GRYFFINDOR,1986-07-23,44551.0
"359447",Sophie Neal,raven,1991-08-09,17333.0
"600321",Uriah Mckinney,"",1955-04-14,13512.0
"709842",Phoenix Winters,SL,1956-08-02,47480.0
"528234",Rylie Barrett,HUFFLEPUFF,1971-09-21,39994.0
"097959",Brennan West,Hufflepuff,1981-07-09,41576.0
"865452",Tyshawn Wu,Beauxbatons,1993-04-05,45340.0
"346114",Gisselle Jacobson,Hufflepuff,1969-09-29,22331.0
"138951",Kendra Kent,Slyth,1962-05-31,4671.0
"035065",Taylor Gibson,HUflepluff,2011-06-07,39948.0
"505297",Jerome Morris,Beauxbatons,1961-08-17,23506.0
"473003",Adison Conrad,Slyth,1992-06-04,8135.0
"997468",Eliana Sheppard,Durmstrang,2001-05-14,29118.0
"07610",Esperanza Marquez,Beauxbatons,1977-10-05,29203.0
"845253",Sidney Moody,Snakes,1975-11-23,18157.0
"558559",Brendan Mcpherson,SL,1991-04-07,31113.0
"356252",Callum White,Gryffindor,1974-11-21,43691.0
"793676",Esmeralda Rosario,Durmstrang,1961-01-15,30883.0
"654983",Kobe Newman,Hufflepuff,1971-04-29,38351.0
"851625",Riya Benson,gryffindor,1987-06-11,15698.0
"202390",Dominic Garrett,Gryffindor,2011-02-23,18823.0
"587976",Abbigail Sims,Beauxbatons,1971-08-19,28193.0
"392236",Javon Lucas,GR,1988-09-17,41548.0
"413479",Finley Savage,Hufflepuff,2008-05-18,48069.0
"327774",Emma Cantrell,HUFFLEPUFF,1996-12-13,46952.0
"646279",Luciano Mendoza,RAVENCLAW,2006-03-03,14146.0
"838969",Malakai Humphrey,Hufflepuff,2001-07-12,49580.0
"159398",Eileen Warren,HU,1985-07-08,24241.0
"952327",Stanley Lowery,HUFFLEPUFF,1981-06-23,33403.0
"786099",Anika Daniel,HU,1980-12-25,48927.0
"729843",Payton Escobar,GR,1993-03-22,22738.0
"276490",Celeste Decker,Huffle,1966-10-12,14800.0
"399528",Siena Patel,Slytherin,2006-03-31,37288.0
"594640",Samantha Douglas,Hufflepuff,2010-02-02,28355.0
"016518",Santiago Morgan,SLYTHERIN,1955-04-02,8853.0
"818819",Roman Lambert,HUflepluff,2001-12-19,46500.0
"924385",Spencer Sampson,Slytherin,1960-09-21,13085.0
"120657",Madeline Bradley,Eagles,2006-11-30,5131.0
"077494",Madison Dunlap,raven,2000-11-10,10434.0
"049552",Kallie Santana,HUFFLEPUFF,2013-04-12,9944.0
"963808",Briley Oconnell,Green,1967-10-12,18324.0
"077342",Jenna Reese,Slyth,1967-11-29,39229.0
"137793",Lilliana Daniel,McGonagall,1996-07-23,39009.0
"068199",Lane Arias,SL,1978-10-06,13527.0
"039331",Mohammed Mendoza,Red,1983-09-09,13536.0
"114787",Nadia Landry,SLYTHERIN,2009-03-22,31404.0
"209099",Josephine Hodge,Ravenclaw,1969-10-31,22551.0
"940992",Mckinley Stewart,SLYTHERIN,1992-05-27,9953.0
"913951",Conrad Ortiz,SL,1966-08-26,7792.0
"452719",Athena Robbins,HUFFLE,2008-03-06,38747.0
"776211",Alia Molina,HUFFLEPUFF,1978-05-23,22565.0
"68095",Elliana Stein,Huffle,1988-12-01,37757.0
"636045",Annabella Levy,HUFFLEPUFF,1956-07-16,15638.0
"678090",Layne Duke,ravenclaw,1973-01-20,9731.0
"701144",Melany Hall,Hufflepuff,1994-08-02,7236.0
"607104",Miah Owens,Ilvermorny,1956-02-13,11691.0
"77209",Amiyah Mcneil,Huffle,1971-08-07,17417.0
"495502",Konner Bowers,Slytherin,1965-05-19,9848.0
"576944",Amari Sosa,Durmstrang,1992-12-18,13426.0
"177013",Benjamin Kaufman,Red,1959-07-24,19673.0
"342801",Katrina Vasquez,Slyth,1996-11-13,44395.0
"046106",Averie Beltran,"",1964-04-28,27959.0
"933692",Caylee Potter,RAVENCLAW,1956-10-22,32391.0
"478319",Alicia Sexton,SLYTHERIN,1994-04-21,6958.0
"953738",Keon Bender,SLYTHERIN,1975-08-19,3352.0
"611638",Bridget Hale,Gr,1998-01-25,10033.0
"745225",Mateo Williamson,Beauxbatons,1975-09-25,28053.0
"404103",Jaydon Neal,Beauxbatons,2014-05-01,39177.0
"037954",Carleigh Lambert,Slyth,2008-12-03,39973.0
"434514",Arturo Pope,Castelobruxo,1956-03-28,40702.0
"127134",Kenneth Harrell,Gryffindor,2001-06-25,18365.0
"5878",Jeremiah Carr,GR,1964-06-03,19945.0
"59875",Demarcus Figueroa,Hufflepuff,1967-06-09,22058.0
"254329",Bria Kemp,ravenclaw,1995-05-21,19269.0
"956733",Alisa Gomez,SL,2011-12-04,5755.0
"009716",Reece Ford,Ravenclaw,1986-05-31,29246.0
"777336",Esteban Lucero,Slytherin,2012-02-18,17803.0
"789095",Rhett Glenn,Slytherin,1985-11-15,5736.0
"228071",Serena Bryant,Ravenclaw,1963-10-09,22325.0
"821306",Trenton Maxwell,Slytherin,1961-09-11,10707.0
"385895",Rayna Clements,Blue,1992-02-05,43118.0
"628651",Daniella Sellers,Beauxbatons,2011-11-15,42632.0
"620994",Jake Faulkner,HU,1980-04-06,43738.0
"279688",Omar Shields,Hufflepuff,1972-04-01,9865.0
"562539",Bryant Wolf,Gryffindor,1985-12-24,3854.0
"05732",Nayeli Holloway,Slytherin,1983-12-19,41666.0
"381275",Imani Buck,HUFFLEPUFF,1981-10-25,38595.0
"074637",Bronson Norman,House,1996-12-28,44577.0
"253806",Yasmin Bruce,Mahoutokoro,1963-06-11,28229.0
"063037",Alyssa Wilcox,SLYTHERIN,1992-12-18,37469.0
"13494",Harry Mullen,gryf,1978-06-26,947.0
"82656",George Lambert,SLYTHERIN,1961-06-03,40193.0
"701619",Jeffery Hill,SLYTHERIN,1981-04-06,29097.0
"536869",Broderick Hernandez,N/A,1994-09-26,9986.0
"754147",Santiago Knapp,Hufflepuff,1976-01-25,7314.0
"074317",Marina Keith,HUFFLEPUFF,1982-03-11,4926.0
"430288",Selah Winters,ravenclaw,1995-03-07,26737.0
"562435",Kianna Hebert,OThers,1997-06-11,29706.0
"877911",Zayne Franklin,Green,1983-12-31,30391.0
"960111",Skylar Jackson,Ravenclaw,2011-09-09,22821.0
"518885",Darnell Foley,HUFFLEPUFF,1971-03-12,31349.0
"394832",Jose Moyer,Yellow,1967-08-31,49299.0
"961532",Nicholas Ho,Badgers,1988-01-12,30728.0
"761136",Precious Harding,Mahoutokoro,2010-04-28,3796.0
"074570",Tony Cook,Gryffindor,2010-01-24,227.0
"205289",Keaton Paul,H,1977-02-01,33131.0
"329409",Paula Davila,H,1998-08-12,42938.0
"2008",Jaime Duffy,Gr,1959-01-07,28133.0
"618271",Julianna Wheeler,HUFFLEPUFF,1970-07-29,31334.0
"463129",Gina Nixon,Durmstrang,1972-02-29,49069.0
"575852",Demetrius Gregory,Durmstrang,1989-04-09,44426.0
"125738",Laney Beck,HUFFLEPUFF,1975-12-25,8823.0
"295814",Kenzie Nguyen,RAVENCLAW,1976-01-05,12110.0
"752148",Jamal Barber,SLYTHERIN,2006-08-14,2187.0
"032974",Milo Mann,G,1969-06-06,16890.0
"649237",Devin Chapman,Gryffindor,1987-11-17,7978.0
"662961",Desmond Klein,Green,1962-06-10,23032.0
"510433",Magdalena Colon,Hufflepuff,1990-01-06,23403.0
"140675",Jocelyn Burgess,Hufflepuff,1975-11-04,40115.0
"944743",Erin Ward,Wampus(Ilvermorny),1973-11-21,9418.0
"110696",Janiah Moon,Badgers,1962-03-02,20338.0
"778636",Naomi Galloway,HUflepluff,2006-07-31,19426.0
"523450",Karter Fischer,Blue,1973-06-23,32674.0
"067415",Ayana Tate,Ravenclaw,1991-09-03,32593.0
"863014",Megan Buckley,Hufflepuff,1974-07-24,33541.0
"15303",Lily Fischer,HUFFLEPUFF,1971-01-02,27793.0
"087874",Mila Velez,GR,2012-06-11,11046.0
"329811",Kamari Cunningham,RAVENCLAW,1990-03-31,13519.0
"775472",Denisse Dunn,HUFFLEPUFF,1972-12-21,15674.0
"014280",Lainey Petty,Huffle,1983-09-23,7632.0
"871265",Paige Schultz,SLYTHERIN,1993-02-24,27052.0
"490741",Catalina Hicks,raven,1994-11-25,39732.0
"421004",Mayra Weaver,Huffle,1977-07-11,26080.0
"835215",Liana Ayers,HUFFLEPUFF,1992-03-24,29166.0
"877158",Cristofer Weber,Green,1986-06-19,17544.0
"383954",Payton Bryant,Ravenclaw,1996-02-29,48045.0
"545812",Taliyah Ramos,gryffindor,1975-07-03,42657.0
"87601",Grant Mcclain,Gr,1981-02-11,20556.0
"229081",Cheyenne Ramirez,HUFFLEPUFF,2014-01-27,42154.0
"582125",Josephine Choi,GRYFFINDOR,2005-11-11,33178.0
"637908",Landin Frye,Hufflepuff,2002-12-14,36520.0
"027139",Jade Trujillo,SLYTHERIN,2006-11-08,4794.0
"837566",Maria Ward,Mahoutokoro,1983-10-25,48990.0
"307920",Omari Harvey,"",1981-02-27,37854.0
"591902",Amirah Torres,"",1964-09-16,29764.0
"582460",Jane Villanueva,McGonagall,1975-04-12,14131.0
"346640",Kaitlyn Schmitt,RAVENCLAW,1976-11-18,3317.0
"168465",Oliver Gill,Other,1980-07-10,12905.0
"169688",Adolfo Sweeney,N/A,1987-01-20,35730.0
"456079",Harley Schmidt, ,1986-12-29,13685.0
"552820",Tiara Aguirre,Koldovstoretz,1966-07-12,29152.0
"891375",Yahir Vance,Slytherin,1980-07-23,3802.0
"985907",Carly Villanueva,HUFFLEPUFF,1984-10-04,24307.0
"742518",Daphne Hampton,Slyth,1959-11-19,25400.0
"631224",Reagan Stuart,Ravenclaw,1964-01-28,12875.0
"859048",Aydan Ford,ravenclaw,1999-05-05,23352.0
"522365",Audrina Pugh,SLYTHERIN,1987-10-12,17632.0
"890635",Jaylynn Villa,Mahoutokoro,1970-02-19,41995.0
"0900",Ciara Gallegos,Gryffindor,2007-06-23,22760.0
"950943",Tanner Simpson,HUflepluff,1971-10-02,23203.0
"87505",Sariah Valencia,RA,1989-08-14,6671.0
"73136",Kiley Quinn,gryfindor,2003-04-07,23518.0
"018262",Kristen Harrison,HUFFLEPUFF,2000-09-04,20520.0
"951458",Meghan Gibbs,Sprout,1989-03-28,6248.0
"140576",Immanuel Rios,gryf,1990-08-28,37784.0
"408791",Sofia Hawkins,Slytherin,1983-11-30,17564.0
"108608",Jane Gomez,Red,2014-01-31,24490.0
"755001",Junior Humphrey,Gryffindor,1980-04-11,938.0
"818563",Darrell Hughes,GR,2005-01-16,7526.0
"035069",Harper Potter,Lions,1980-12-29,6270.0
"841219",Laurel Hickman,Ravenclaw,2012-08-29,11410.0
"756448",Hannah Fitzgerald,Gr,2007-03-08,35020.0
"636786",Terrence Duke,HUFFLEPUFF,2006-11-28,10865.0
"349128",Greyson Farley,Beauxbatons,1995-08-09,9800.0
"576920",Payton Leach,Red,1970-08-03,1863.0
"925533",Ryann Vargas,Mahoutokoro,2003-12-27,33463.0
"576715",Dana Lamb,GRYFFINDOR,1955-07-30,23824.0
"232223",Aniyah Mcclain,Hufflepuff,1973-11-06,47041.0
"751408",Abel Weiss,Gr,1987-04-19,29310.0
"527761",Erin Baird,"",2013-01-08,37548.0
"620665",Elsa Walter,SLYTHERIN,1967-10-18,36687.0
"20994",Sarahi Ali,RAVENCLAW,1979-07-23,28748.0
"598578",Owen Woodard,Blue,2011-08-16,21643.0
"73854",Enzo Burke,gryffindor,1963-08-06,2255.0
